Pin#,Trenz Signal,PacMan signal,Function
JB2.31,B13_L5_P,TILE2_POSI0,Tile 2 Data In
JB2.33,B13_L5_N,TILE2_POSI1,Tile 2 Data In
JB2.35,B13_L6_P,TILE2_POSI2,Tile 2 Data In
JB2.37,B13_L6_N,TILE2_POSI3,Tile 2 Data In
JB2.39,GND,GND,
JB2.41,B13_L1_P,TILE2_PISO0,Tile 2 Data Out
JB2.43,B13_L1_N,TILE2_PISO1,Tile 2 Data Out
JB2.45,B13_L12_P,TILE2_PISO2,Tile 2 Data Out
JB2.47,B13_L12_N,TILE2_PISO3,Tile 2 Data Out
JB2.49,GND,GND,
JB2.51,B13_L14_P,TILE3_POSI0,Tile 3 Data In
JB2.53,B13_L14_N,TILE3_POSI1,Tile 3 Data In
JB2.55,B13_L13_P,TILE3_POSI2,Tile 3 Data In
JB2.57,B13_L13_N,TILE3_POSI3,Tile 3 Data In
JB2.59,GND,GND,
JB2.61,B13_L4_P,TILE3_PISO0,Tile 3 Data Out
JB2.63,B13_L4_N,TILE3_PISO1,Tile 3 Data Out
JB2.65,B13_L3_P,TILE3_PISO2,Tile 3 Data Out
JB2.67,B13_L3_N,TILE3_PISO3,Tile 3 Data Out
JB2.69,GND,GND,
JB2.71,B13_L10_P,TILE10_POSI0,Tile 10 Data In
JB2.73,B13_L10_N,TILE10_POSI1,Tile 10 Data In
JB2.75,B13_L2_P,TILE10_POSI2,Tile 10 Data In
JB2.77,B13_L2_N,TILE10_POSI3,Tile 10 Data In
JB2.79,GND,GND,
JB2.81,B13_L23_P,TILE10_PISO0,Tile 10 Data Out
JB2.83,B13_L23_N,TILE10_PISO1,Tile 10 Data Out
JB2.85,B13_L24_P,TILE10_PISO2,Tile 10 Data Out
JB2.87,B13_L24_N,TILE10_PISO3,Tile 10 Data Out
JB2.89,GND,GND,
JB2.91,B13_L19_P,ADC_D4,ADC Data / Debug (*)
JB2.93,B13_L19_N,ADC_D5,ADC Data / Debug (*)
JB2.95,B13_L22_P,ADC_D6,ADC Data / Debug (*)
JB2.97,B13_L22_N,ADC_D7,ADC Data / Debug (*)
JB2.99,B13_IO0,ETH0_LED1,Ethernet

JB2.2,VCCIO34,3.3VT,Bank 34 Supply In: +3.3V
JB2.4,VCCIO34,3.3VT,Bank 34 Supply In: +3.3V
JB2.6,VCCIO33,2.5VT,Bank 33 Supply In: +2.5V
JB2.8,VCCIO13,3.3VT,Bank 13 Supply In: +3.3V
JB2.10,VCCIO13,3.3VT,Bank 13 Supply In: +3.3V
JB2.12 ,B33_L7_P,SFP_TCLK_P,Timing
JB2.14,B33_L7_N,SFP_TCLK_N,Timing
JB2.16,B33_L8_P,SFP_FAULT,Timing
JB2.18,B33_L8_N,SFP_LOS,Timing
JB2.20,1.5V,(not used),
JB2.22,B33_L11_P,SFP_MOD,Timing
JB2.24,B33_L11_N,SFP_DISABLE,Timing
JB2.26,B33_L12_P,ADC_D8,ADC Data
JB2.28,B33_L12_N,ADC_D9,ADC Data
JB2.30,B33_VREF,GND,
JB2.32,B33_L17_P,ADC_D10,ADC Data
JB2.34,B33_L17_N,ADC_D11,ADC Data
JB2.36,B33_L18_P,ADC_OF,ADC Control
JB2.38,B33_L18_N,ADC_EN,ADC Control
JB2.40,GND,GND,
JB2.42,B13_L7_P,TILE5_POSI3,Tile 5 Data In
JB2.44,B13_L7_N,TILE5_POSI2,Tile 5 Data In
JB2.46,B13_L8_P,TILE5_POSI1,Tile 5 Data In
JB2.48,B13_L8_N,TILE5_POSI0,Tile 5 Data In
JB2.50,GND,GND,
JB2.52,B13_L11_P,TILE5_PISO3,Tile 5 Data Out
JB2.54,B13_L11_N,TILE5_PISO2,Tile 5 Data Out
JB2.56,B13_L9_P,TILE5_PISO1,Tile 5 Data Out
JB2.58,B13_L9_N,TILE5_PISO0,Tile 5 Data Out
JB2.60,GND,GND,
JB2.62,B13_L20_P,TILE8_POSI3,Tile 8 Data In
JB2.64,B13_L20_N,TILE8_POSI2,Tile 8 Data In
JB2.66,B13_L17_P,TILE8_POSI1,Tile 8 Data In
JB2.68,B13_L17_N,TILE8_POSI0,Tile 8 Data In
JB2.70,GND,GND,
JB2.72,B13_L16_P,TILE8_PISO3,Tile 8 Data Out
JB2.74,B13_L16_N,TILE8_PISO2,Tile 8 Data Out
JB2.76,B13_L18_P,TILE8_PISO1,Tile 8 Data Out
JB2.78,B13_L18_N,TILE8_PISO0,Tile 8 Data Out
JB2.80,GND,GND,
JB2.82,B13_L15_P,TEST_OUT1,Iso Test Output
JB2.84,B13_L15_N,TEST_OUT2,Iso Test Output
JB2.86,B13_L21_P,CDR_LOL,Timing
JB2.88,B13_L21_N,CDR_LOS,Timing
JB2.90,B13_IO25,ETH0_LED2,Ethernet
JB2.92,3.3V-JTAG,VCCJTAG,JTAG
JB2.94,X_TMS,TMS_B,JTAG
JB2.96,X_TDI,TDI_B,JTAG
JB2.98,X_TDO,TDO_B,JTAG
JB2.100,X_TCK,TCK_B,JTAG

JB3.1,SIN_N,(not used),
JB3.3,SIN_P,(not used),
JB3.5,GND,GND,
JB3.7,B34_L1_P,ADC_CLK,ADC Control
JB3.9,B34_L1_N,TILE4_ENABLE,Tile 4 Control
JB3.11,GND,GND,
JB3.13,B34_L18_P,TILE7_ENABLE,Tile 7 Control
JB3.15,B34_L18_N,TILE6_ENABLE,Tile 6 Control
JB3.17,GND,GND,
JB3.19,B34_L20_P,TILE3_ENABLE,Tile 3 Control
JB3.21,B34_L20_N,TILE2_ENABLE,Tile 2 Control
JB3.23,GND,GND,
JB3.25,B34_L10_P,TILE5_ENABLE,Tile 5 Control
JB3.27,B34_L10_N,TILE8_ENABLE,Tile 8 Control
JB3.29,GND,GND,
JB3.31,B34_L13_P,TILE9_ENABLE,Tile 9 Control
JB3.33,B34_L13_N,TILE10_ENABLE,Tile 10 Control
JB3.35,GND,GND,
JB3.37,B34_L21_P,(not used),
JB3.39,B34_L21_N,TILE4_TRIG,Tile 4 Control
JB3.41,B34_L15_P,TILE7_TRIG,Tile 7 Control
JB3.43,B34_L15_N,TILE6_TRIG,Tile 6 Control
JB3.45,GND,GND,
JB3.47,B34_L17_P,TILE3_TRIG,Tile 3 Control
JB3.49,B34_L17_N,TILE2_TRIG,Tile 2 Control
JB3.51,B34_L23_P,TILE5_TRIG,Tile 5 Control
JB3.53,B34_L23_N,TILE8_TRIG,Tile 8 Control
JB3.55,B34_VREF,GND,
JB3.57,B34_L14_P,TILE9_TRIG,Tile 9 Control
JB3.59,B34_L14_N,TILE10_TRIG,Tile 10 Control

JB3.2,SOUT_N,(not used),
JB3.4,SOUT_P,(not used),
JB3.6,GND,GND,
JB3.8,B34_L7_P,TRIG_ISO,Iso Input
JB3.10,B34_L7_N,SYNC_ISO,Iso Input
JB3.12 ,GND,GND,
JB3.14,B34_L2_P,ANALOG_PWR_EN,Power Control
JB3.16,B34_L2_N,TILE2_SYNC,Tile 2 Control
JB3.18,GND,GND,
JB3.20,B34_L4_P,TILE3_SYNC,Tile 3 Control
JB3.22,B34_L4_N,TILE4_SYNC,Tile 4 Control
JB3.24,GND,GND,
JB3.26,B34_L5_P,TILE5_SYNC,Tile 5 Control
JB3.28,B34_L5_N,TILE6_SYNC,Tile 6 Control
JB3.30,GND,GND,
JB3.32,B34_L12_P,ISO_SIGNAL0,Iso Input
JB3.34,B34_L12_N,ISO_SIGNAL1,Iso Input
JB3.36,GND,GND,
JB3.38,B34_L8_P,TILE7_SYNC,Tile 7 Control
JB3.40,B34_L8_N,TILE8_SYNC,Tile 8 Control
JB3.42,B34_L9_P,TILE9_SYNC,Tile 9 Control
JB3.44,B34_L9_N,TILE10_SYNC,Tile 10 Control
JB3.46,GND,GND,
JB3.48,OTG-D-P,(not used),
JB3.50,OTG-D-N,(not used),
JB3.52,OTG-ID,(not used),
JB3.54,VBUS_V_EN,(not used),
JB3.56,USB-VBUS,(not used),
JB3.58,B34_L22_P,LED-2,LED
JB3.60,B34_L22_N,LED-3,LED
